State,District,Date,Daily Actual,Daily Normal,Daily Departure Per,Daily Category
Meghalaya,North Garo Hills,2014-01-19,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-19,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-19,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-20,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-20,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-20,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-20,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-20,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-20,0.154982,30.0,-99.48339333333334,deficit
Meghalaya,East Garo Hills,2014-01-20,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-20,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-21,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-21,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-21,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-21,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-21,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-21,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-21,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-21,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-22,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-22,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-22,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-22,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-22,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-22,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-22,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-22,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-23,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-23,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-23,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-23,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-23,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-23,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-23,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-23,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-24,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-24,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-24,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-24,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-24,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-24,0.0,30.0,-100.0,deficit
