source_line,latitude,longitude,district,event_date,event_year,date_precision,source_row,event_datetime,grid_lat_idx,grid_lon_idx,grid_distance_km
983,25.45939722,90.70860278,South Garo Hills,2022-06-17,2022,day,South Garo Hills          NongalBibra village                  Nongal Bibra             25.45939722   90.70860278   Debris          Slide         17 June 2022 at 3.000hrs,2022-06-17,0,0,0.0
994,25.365263,91.878497,East Khasi Hills,2023-04-13,2023,day,"East Khasi Hills          NH-40                             Ryngngain slide, before     25.365263     91.878497     Rock            Slide         13 April 2023",2023-04-13,0,0,0.0
995,25.52901389,91.26188611,West Khasi Hills,2023-06-17,2023,day,"West Khasi Hills          Pyndengrei village, Nongstoin     Pyndengrei slide            25.52901389   91.26188611   Debris          Slide         17 June 2023 at 4:00 AM.",2023-06-17,0,0,0.0
691,25.6251,91.9118,East Khasi Hills,2024-05-27,2024,day,East Khasi Hills   NA                              NA                             25.6251       91.9118       Slope cut debris   Slide     27 May 2024,2024-05-27,0,0,0.0
1011,25.34508889,91.60050278,East Khasi Hills,2024-05-28,2024,day,"East Khasi Hills          Mawlynnu(Sixteen)                    Weiloi-Mawsynram Road    25.34508889   91.60050278   Debris          Slide         28 May 2024, morning",2024-05-28,0,0,0.0
998,25.39295833,91.55163333,South West Khasi Hills,2024-05-28,2024,day,South West Khasi Hills    Wamney                            Village Road                25.39295833   91.55163333   Debris          Slide         28 May 2024,2024-05-28,0,0,0.0
1000,25.40288611,91.43424167,South West Khasi Hills,2024-05-28,2024,day,South West Khasi Hills    Mawkyllung                        Mawkyllung-Nongstoin Road   25.40288611   91.43424167   Debris          Fall          28 May 2024,2024-05-28,0,0,0.0
1010,25.41384722,91.67856111,East Khasi Hills,2024-05-28,2024,day,"East Khasi Hills          Ummawiong                            Lyngiang-Tynsad Road     25.41384722   91.67856111   Debris          Slide         28 May 2024, morning",2024-05-28,0,0,0.0
1009,25.44693056,91.74096667,East Khasi Hills,2024-05-28,2024,day,"East Khasi Hills          Mawphlang                            Mawphlang-Weiloi Road    25.44693056   91.74096667   Debris          Topple/Fall   28 May 2024, morning",2024-05-28,0,0,0.0
1003,25.62790278,91.88801944,East Khasi Hills,2024-05-28,2024,day,East Khasi Hills          Mowing Rim                           Shillong-Umiam Road      25.62790278   91.88801944   Debris          Fall          28 May 2024 at 4.00 hrs,2024-05-28,0,0,0.0
1004,25.630403,91.8899195,East Khasi Hills,2024-05-28,2024,day,East Khasi Hills          Mowing Rim                           Shillong-Umiam Road      25.630403     91.8899195    Debris          Subsidence    28 May 2024 at 4.00 hrs,2024-05-28,0,0,0.0
1005,25.630858,91.887601,East Khasi Hills,2024-05-28,2024,day,East Khasi Hills          Mowing Rim                           Shillong-Umiam Road      25.630858     91.887601     Debris          Slide         28 May 2024 at 4.00 hrs,2024-05-28,0,0,0.0
1048,25.68798889,91.65838889,West Khasi Hills,2024-05-28,2024,day,Eastern-West Khasi Hill                                    Mairang-Guwahati Road           25.68798889   91.65838889   Debris          Slide         28 May 2024,2024-05-28,0,0,0.0
